date,Red & White Cabbage,Romaine,Kale,Baby Spinach,Wholemeal Wrap,Spinach Wrap,Tortilla Wrap,Tomato Wrap,Cauliflower Rice,Quinoa,Pea Sprouts,Pomelo,Radish Pickles,Mixed Seeds,Sesame Seeds,Furikake,Crushed Peanuts,Cucumber Pickles,Lime Wedge,Jalapeno,Fresh Herbs,Grated Eggs,Tofu,Raisins,Mandarin Orange,Green Apple,Grapes,Croutons,Soba Noodles,Roasted Pumpkins,Potato,Black Beans,Chickpeas,Edamame,Broccoli,Sweet Corn,French Beans,Olives,Red Onions,Cherry Tomatoes,Capsicum,Cucumbers,Carrot,Beetroot,Sous-vide Chicken,Sous-vide Salmon,Super Protein Patty,Thai Asparagus,Toasted Almonds,Walnuts,Bacon Bits,Roasted Lemongrass Chicken,Tandoori Chicken,Roasted Chicken,Seared Tuna,Smoked Salmon,Grilled Halloumi Cheese,Feta,Parmesan,Cheddar,Soft Boiled Eggs,Whole Eggs,Veggie Patty,Falafel,Grilled Tofu,Avocado,Roasted Brussel Sprouts,Warm Baked Mushrooms,Arabian Spiced Vinaigrette,Indian Spiced Yoghurt,Japanese Miso,Korean Chilli Vinaigrette,Sesame Lime,Thai Turmeric,Wasabi Honey Soy,Balsamic Vinagrette,Basil Pesto,Cashew Mint,Classic Caesar,Honey Dijon,Lemon & Oil,Mixed Berries Vinaigrette,Olive Oil,Salt & Pepper,Smoked Pimento,Smoky Ranch,Tabbasco Sauce
2013-01-12,43,39,19,9,8,15,35,9,38,36,46,34,45,38,50,9,27,52,27,27,25,50,11,39,51,21,10,58,41,24,25,20,35,15,28,46,13,43,24,13,20,24,25,18,51,31,7,35,15,46,46,34,45,38,50,9,27,52,27,27,25,50,11,39,51,27,52,27,27,25,50,11,39,51,21,10,58,41,24,25,20,35,15,28,46,13,43
2013-01-13,43,28,19,8,11,20,44,8,32,36,29,44,52,28,53,17,26,48,27,29,21,55,19,34,44,30,17,62,48,23,31,29,40,20,46,51,20,63,28,13,12,24,28,14,42,47,19,35,18,32,29,44,52,28,53,17,26,48,27,29,21,55,19,34,44,26,48,27,29,21,55,19,34,44,30,17,62,48,23,31,29,40,20,46,51,20,63
2013-01-14,28,30,15,5,5,15,17,5,24,26,29,27,39,25,17,6,11,28,12,23,15,36,17,29,26,13,10,45,30,14,23,23,39,15,27,31,9,27,25,12,5,13,20,12,29,22,7,27,16,32,29,27,39,25,17,6,11,28,12,23,15,36,17,29,26,11,28,12,23,15,36,17,29,26,13,10,45,30,14,23,23,39,15,27,31,9,27
2013-01-15,40,27,12,14,10,15,34,14,24,24,32,43,48,32,55,12,19,49,25,11,24,33,15,19,24,21,6,39,49,17,36,26,28,15,33,47,12,40,25,18,14,19,23,12,39,30,16,16,18,28,32,43,48,32,55,12,19,49,25,11,24,33,15,19,24,19,49,25,11,24,33,15,19,24,21,6,39,49,17,36,26,28,15,33,47,12,40
2013-01-16,48,19,26,7,6,14,35,7,22,41,32,27,32,33,42,12,15,41,12,17,20,39,16,36,31,20,11,49,41,26,29,20,36,14,40,27,16,39,18,18,4,15,19,15,41,17,6,20,16,35,32,27,32,33,42,12,15,41,12,17,20,39,16,36,31,15,41,12,17,20,39,16,36,31,20,11,49,41,26,29,20,36,14,40,27,16,39
2013-01-17,38,29,14,11,7,11,32,11,33,35,37,33,39,30,46,16,22,51,13,25,18,34,12,38,34,21,16,43,39,15,20,20,34,11,40,40,9,40,20,18,10,20,24,17,39,31,4,24,18,34,37,33,39,30,46,16,22,51,13,25,18,34,12,38,34,22,51,13,25,18,34,12,38,34,21,16,43,39,15,20,20,34,11,40,40,9,40
2013-01-18,38,29,21,7,10,11,34,7,24,37,30,42,50,31,48,14,18,47,23,16,23,40,21,39,46,23,20,50,33,17,30,23,33,11,34,40,13,45,23,18,7,20,24,21,38,38,8,19,13,39,30,42,50,31,48,14,18,47,23,16,23,40,21,39,46,18,47,23,16,23,40,21,39,46,23,20,50,33,17,30,23,33,11,34,40,13,45
2013-01-19,37,44,13,9,8,14,34,9,23,45,48,35,43,28,56,10,14,55,23,32,25,42,9,38,41,30,18,41,43,17,26,21,33,14,36,41,16,47,23,15,9,18,30,20,49,25,17,35,16,49,48,35,43,28,56,10,14,55,23,32,25,42,9,38,41,14,55,23,32,25,42,9,38,41,30,18,41,43,17,26,21,33,14,36,41,16,47
2013-01-20,58,34,21,20,9,17,42,20,34,40,43,49,61,29,47,14,22,45,23,23,25,53,17,38,37,29,13,50,47,26,34,19,39,17,50,53,18,53,21,20,9,25,36,13,50,39,17,24,19,53,43,49,61,29,47,14,22,45,23,23,25,53,17,38,37,22,45,23,23,25,53,17,38,37,29,13,50,47,26,34,19,39,17,50,53,18,53
2013-01-21,30,15,18,15,4,5,15,15,26,26,25,21,44,24,24,11,24,31,11,13,19,35,15,24,28,14,13,37,19,21,17,15,23,5,29,24,12,41,14,16,14,15,25,10,34,34,12,18,8,27,25,21,44,24,24,11,24,31,11,13,19,35,15,24,28,24,31,11,13,19,35,15,24,28,14,13,37,19,21,17,15,23,5,29,24,12,41
2013-01-22,36,29,20,11,9,13,21,11,20,37,29,35,40,27,44,14,18,46,18,23,19,48,15,41,46,27,10,48,41,18,30,32,26,13,34,32,11,44,23,15,10,16,32,13,34,27,13,17,10,26,29,35,40,27,44,14,18,46,18,23,19,48,15,41,46,18,46,18,23,19,48,15,41,46,27,10,48,41,18,30,32,26,13,34,32,11,44
2013-01-23,41,21,14,7,6,16,24,7,21,47,26,31,45,39,24,10,16,41,22,18,18,42,9,27,33,18,10,45,36,17,33,18,32,16,33,42,17,46,17,14,13,7,17,10,43,26,10,19,10,28,26,31,45,39,24,10,16,41,22,18,18,42,9,27,33,16,41,22,18,18,42,9,27,33,18,10,45,36,17,33,18,32,16,33,42,17,46
2013-01-24,42,33,20,8,12,14,30,8,17,46,32,35,48,28,57,15,18,45,18,20,16,35,16,27,42,21,13,49,43,19,31,17,38,14,36,37,19,41,18,17,11,15,25,13,40,38,13,16,14,35,32,35,48,28,57,15,18,45,18,20,16,35,16,27,42,18,45,18,20,16,35,16,27,42,21,13,49,43,19,31,17,38,14,36,37,19,41
2013-01-25,41,29,21,12,5,9,30,12,27,42,30,43,41,29,48,13,19,60,17,28,21,41,19,38,33,24,10,50,36,15,29,17,44,9,25,35,14,50,21,20,16,24,23,17,40,33,19,32,12,42,30,43,41,29,48,13,19,60,17,28,21,41,19,38,33,19,60,17,28,21,41,19,38,33,24,10,50,36,15,29,17,44,9,25,35,14,50
2013-01-26,36,33,17,5,7,20,38,5,25,38,32,37,40,34,49,11,22,47,21,27,25,42,17,41,58,28,13,43,41,19,38,28,34,20,38,43,12,49,15,22,6,21,35,14,48,35,10,27,18,36,32,37,40,34,49,11,22,47,21,27,25,42,17,41,58,22,47,21,27,25,42,17,41,58,28,13,43,41,19,38,28,34,20,38,43,12,49
2013-01-27,41,32,17,13,18,14,34,13,34,38,55,42,51,28,55,14,17,50,28,29,30,52,20,42,47,26,13,58,39,21,33,20,45,14,42,42,23,46,32,13,15,23,32,15,45,31,19,36,9,38,55,42,51,28,55,14,17,50,28,29,30,52,20,42,47,17,50,28,29,30,52,20,42,47,26,13,58,39,21,33,20,45,14,42,42,23,46
2013-01-28,26,16,14,7,9,7,23,7,17,18,34,24,37,24,32,10,17,31,20,17,17,33,18,29,28,21,7,36,23,15,24,23,24,7,35,27,14,31,22,12,10,15,24,13,31,29,12,17,8,23,34,24,37,24,32,10,17,31,20,17,17,33,18,29,28,17,31,20,17,17,33,18,29,28,21,7,36,23,15,24,23,24,7,35,27,14,31
2013-01-29,43,35,15,13,9,9,28,13,29,33,28,35,28,30,45,13,13,38,23,23,22,41,15,33,39,32,9,42,40,18,27,16,36,9,34,37,19,39,16,11,14,21,25,12,32,27,8,20,12,24,28,35,28,30,45,13,13,38,23,23,22,41,15,33,39,13,38,23,23,22,41,15,33,39,32,9,42,40,18,27,16,36,9,34,37,19,39
2013-01-30,33,29,14,8,9,9,25,8,26,26,28,38,33,36,45,10,12,35,20,20,22,31,5,27,36,26,8,36,31,18,27,16,30,9,33,35,14,43,25,16,3,22,21,11,29,27,10,24,12,19,28,38,33,36,45,10,12,35,20,20,22,31,5,27,36,12,35,20,20,22,31,5,27,36,26,8,36,31,18,27,16,30,9,33,35,14,43
2013-01-31,36,27,24,19,13,10,31,19,24,38,40,34,41,33,43,11,24,35,14,33,30,55,8,29,46,29,18,48,33,21,21,24,38,10,32,34,19,44,23,18,13,16,32,20,49,29,12,30,13,31,40,34,41,33,43,11,24,35,14,33,30,55,8,29,46,24,35,14,33,30,55,8,29,46,29,18,48,33,21,21,24,38,10,32,34,19,44
2013-02-01,50,30,22,21,8,16,38,21,29,45,44,38,64,33,52,14,27,65,40,27,17,56,20,28,65,24,13,59,39,30,34,28,46,16,44,51,16,40,22,9,13,11,36,18,46,35,12,40,12,59,44,38,64,33,52,14,27,65,40,27,17,56,20,28,65,27,65,40,27,17,56,20,28,65,24,13,59,39,30,34,28,46,16,44,51,16,40
2013-02-02,54,26,32,10,16,23,42,10,28,34,52,39,48,44,61,21,13,52,13,27,27,60,17,39,33,20,18,60,48,33,26,34,33,23,50,60,22,43,32,19,16,23,30,22,47,37,12,33,23,51,52,39,48,44,61,21,13,52,13,27,27,60,17,39,33,13,52,13,27,27,60,17,39,33,20,18,60,48,33,26,34,33,23,50,60,22,43
2013-02-03,47,39,29,6,11,13,28,6,31,42,49,39,48,32,58,26,18,48,24,28,27,55,10,40,45,39,15,70,56,16,44,29,37,13,55,53,20,53,26,13,12,24,38,22,82,39,16,41,18,43,49,39,48,32,58,26,18,48,24,28,27,55,10,40,45,18,48,24,28,27,55,10,40,45,39,15,70,56,16,44,29,37,13,55,53,20,53
2013-02-04,35,30,21,11,8,9,33,11,16,38,25,25,29,22,35,13,22,39,13,23,21,31,15,34,40,25,7,45,39,18,30,24,39,9,26,33,23,43,20,9,7,12,30,15,34,20,9,16,11,25,25,25,29,22,35,13,22,39,13,23,21,31,15,34,40,22,39,13,23,21,31,15,34,40,25,7,45,39,18,30,24,39,9,26,33,23,43
2013-02-05,32,34,21,17,15,20,21,17,26,42,47,44,40,36,49,9,18,45,19,28,26,39,12,35,33,20,11,46,28,20,18,24,23,20,36,32,11,39,28,21,12,12,19,11,38,24,11,28,16,46,47,44,40,36,49,9,18,45,19,28,26,39,12,35,33,18,45,19,28,26,39,12,35,33,20,11,46,28,20,18,24,23,20,36,32,11,39
2013-02-06,38,22,19,9,7,12,38,9,23,39,34,44,37,22,48,17,18,40,26,21,22,36,12,28,42,22,16,39,38,34,45,26,44,12,34,41,13,49,23,14,9,20,24,14,42,24,11,28,9,29,34,44,37,22,48,17,18,40,26,21,22,36,12,28,42,18,40,26,21,22,36,12,28,42,22,16,39,38,34,45,26,44,12,34,41,13,49
2013-02-07,34,42,15,15,10,17,43,15,25,44,36,37,51,33,45,16,9,53,20,23,28,51,14,29,44,16,12,54,42,29,35,19,49,17,31,45,17,47,34,21,14,17,31,10,50,24,12,30,16,39,36,37,51,33,45,16,9,53,20,23,28,51,14,29,44,9,53,20,23,28,51,14,29,44,16,12,54,42,29,35,19,49,17,31,45,17,47
2013-02-08,57,27,26,14,7,14,40,14,31,47,40,45,46,38,54,11,15,53,26,37,23,57,17,36,47,18,16,61,47,36,41,30,34,14,29,54,23,51,28,19,13,22,37,16,56,31,10,26,22,39,40,45,46,38,54,11,15,53,26,37,23,57,17,36,47,15,53,26,37,23,57,17,36,47,18,16,61,47,36,41,30,34,14,29,54,23,51
2013-02-09,61,28,24,12,8,17,41,12,23,48,41,57,46,37,68,9,16,52,21,24,24,53,15,52,61,43,10,50,51,15,31,33,48,17,43,45,17,58,13,21,17,22,23,23,52,34,9,33,18,25,41,57,46,37,68,9,16,52,21,24,24,53,15,52,61,16,52,21,24,24,53,15,52,61,43,10,50,51,15,31,33,48,17,43,45,17,58
2013-02-10,55,34,24,13,10,19,36,13,39,41,52,39,64,42,56,20,21,58,33,23,18,61,19,49,51,21,13,50,51,21,31,23,37,19,62,65,26,60,33,21,16,25,29,16,45,35,14,33,36,57,52,39,64,42,56,20,21,58,33,23,18,61,19,49,51,21,58,33,23,18,61,19,49,51,21,13,50,51,21,31,23,37,19,62,65,26,60
2013-02-11,38,25,18,12,13,15,31,12,32,16,27,32,42,25,35,6,15,34,12,11,14,32,17,23,39,17,13,37,25,16,23,25,23,15,27,35,12,40,18,16,11,17,24,13,37,23,11,16,21,32,27,32,42,25,35,6,15,34,12,11,14,32,17,23,39,15,34,12,11,14,32,17,23,39,17,13,37,25,16,23,25,23,15,27,35,12,40
2013-02-12,37,39,17,13,13,17,22,13,32,41,47,38,52,29,40,11,14,43,31,24,18,41,14,35,38,25,8,51,39,26,27,23,36,17,33,48,13,50,23,11,12,19,20,20,56,28,13,21,16,47,47,38,52,29,40,11,14,43,31,24,18,41,14,35,38,14,43,31,24,18,41,14,35,38,25,8,51,39,26,27,23,36,17,33,48,13,50
2013-02-13,32,17,21,13,8,14,27,13,37,33,36,32,51,34,49,19,20,43,22,22,20,42,13,41,38,23,12,42,40,16,22,20,43,14,38,47,12,58,28,17,12,26,29,13,33,32,13,24,15,37,36,32,51,34,49,19,20,43,22,22,20,42,13,41,38,20,43,22,22,20,42,13,41,38,23,12,42,40,16,22,20,43,14,38,47,12,58
2013-02-14,42,35,12,9,10,15,29,9,25,33,43,36,48,49,45,14,20,55,17,23,22,50,12,34,46,38,12,44,38,18,38,27,32,15,36,41,12,41,24,23,10,20,23,11,42,49,12,26,17,23,43,36,48,49,45,14,20,55,17,23,22,50,12,34,46,20,55,17,23,22,50,12,34,46,38,12,44,38,18,38,27,32,15,36,41,12,41
2013-02-15,35,34,23,15,11,9,30,15,38,51,38,32,61,29,50,17,19,53,31,34,34,56,19,38,47,24,18,47,32,24,28,31,47,9,59,53,16,45,25,29,13,14,24,24,48,48,5,28,17,30,38,32,61,29,50,17,19,53,31,34,34,56,19,38,47,19,53,31,34,34,56,19,38,47,24,18,47,32,24,28,31,47,9,59,53,16,45
2013-02-16,47,39,23,13,10,16,52,13,21,37,50,40,54,42,61,21,18,63,27,23,27,55,20,32,57,22,9,52,52,26,41,30,35,16,48,43,22,44,29,18,17,23,29,14,55,40,20,27,23,40,50,40,54,42,61,21,18,63,27,23,27,55,20,32,57,18,63,27,23,27,55,20,32,57,22,9,52,52,26,41,30,35,16,48,43,22,44
2013-02-17,43,46,22,11,11,17,47,11,28,58,56,37,41,46,76,18,22,61,29,36,40,52,16,37,64,34,14,67,45,31,38,34,41,17,61,42,22,53,17,17,17,23,41,15,51,42,14,28,13,49,56,37,41,46,76,18,22,61,29,36,40,52,16,37,64,22,61,29,36,40,52,16,37,64,34,14,67,45,31,38,34,41,17,61,42,22,53
2013-02-18,32,31,16,9,5,5,34,9,23,31,43,34,38,26,51,23,13,36,14,20,17,42,10,36,38,22,6,44,28,19,27,15,33,5,27,43,17,39,15,13,16,14,23,10,38,31,12,25,10,34,43,34,38,26,51,23,13,36,14,20,17,42,10,36,38,13,36,14,20,17,42,10,36,38,22,6,44,28,19,27,15,33,5,27,43,17,39
2013-02-19,48,30,19,8,10,15,30,8,24,39,34,38,51,35,42,21,20,37,19,24,16,42,12,39,47,23,10,49,36,21,20,27,41,15,38,32,19,42,20,10,15,19,18,17,46,32,10,32,11,40,34,38,51,35,42,21,20,37,19,24,16,42,12,39,47,20,37,19,24,16,42,12,39,47,23,10,49,36,21,20,27,41,15,38,32,19,42
2013-02-20,39,24,25,14,7,19,27,14,29,46,31,46,44,38,37,9,17,49,19,27,28,52,14,27,45,24,5,44,29,17,39,18,30,19,40,42,20,47,14,15,5,22,25,9,47,24,6,28,16,31,31,46,44,38,37,9,17,49,19,27,28,52,14,27,45,17,49,19,27,28,52,14,27,45,24,5,44,29,17,39,18,30,19,40,42,20,47
2013-02-21,48,31,21,9,11,17,29,9,22,41,47,31,52,30,41,13,25,42,18,31,22,49,20,35,45,31,14,48,35,26,31,35,35,17,48,47,18,34,17,23,19,18,31,16,48,36,10,37,12,36,47,31,52,30,41,13,25,42,18,31,22,49,20,35,45,25,42,18,31,22,49,20,35,45,31,14,48,35,26,31,35,35,17,48,47,18,34
2013-02-22,50,40,24,9,15,19,31,9,33,56,45,33,58,39,42,12,20,52,22,27,24,47,21,42,57,29,11,53,45,24,38,24,44,19,41,48,23,40,35,13,9,28,31,17,41,37,15,22,15,41,45,33,58,39,42,12,20,52,22,27,24,47,21,42,57,20,52,22,27,24,47,21,42,57,29,11,53,45,24,38,24,44,19,41,48,23,40
2013-02-23,52,37,29,13,13,17,43,13,30,38,55,49,54,50,57,11,24,50,25,32,28,49,19,46,47,31,19,61,43,23,39,23,58,17,47,54,9,51,25,17,17,26,16,8,42,45,16,39,23,33,55,49,54,50,57,11,24,50,25,32,28,49,19,46,47,24,50,25,32,28,49,19,46,47,31,19,61,43,23,39,23,58,17,47,54,9,51
2013-02-24,58,33,15,9,9,18,38,9,50,49,50,55,49,42,57,14,20,52,34,36,32,48,23,40,47,28,19,58,51,25,51,23,42,18,55,44,22,64,25,20,9,22,37,13,56,35,10,34,14,37,50,55,49,42,57,14,20,52,34,36,32,48,23,40,47,20,52,34,36,32,48,23,40,47,28,19,58,51,25,51,23,42,18,55,44,22,64
2013-02-25,43,13,19,8,3,8,29,8,27,28,32,33,42,30,40,7,17,34,18,21,21,38,8,30,35,13,7,33,35,23,21,28,35,8,32,29,16,43,20,15,7,13,28,20,32,27,8,19,12,27,32,33,42,30,40,7,17,34,18,21,21,38,8,30,35,17,34,18,21,21,38,8,30,35,13,7,33,35,23,21,28,35,8,32,29,16,43
2013-02-26,45,33,17,16,6,14,27,16,31,42,37,31,44,36,50,5,16,49,19,21,20,25,13,36,32,28,11,50,35,25,31,21,33,14,28,47,22,46,29,11,8,19,29,14,38,27,15,34,10,27,37,31,44,36,50,5,16,49,19,21,20,25,13,36,32,16,49,19,21,20,25,13,36,32,28,11,50,35,25,31,21,33,14,28,47,22,46
2013-02-27,38,19,19,17,9,17,27,17,28,29,32,32,45,38,37,11,20,35,20,20,18,33,6,36,31,25,11,41,36,24,40,20,28,17,30,32,20,49,18,11,9,18,23,14,40,38,18,22,14,43,32,32,45,38,37,11,20,35,20,20,18,33,6,36,31,20,35,20,20,18,33,6,36,31,25,11,41,36,24,40,20,28,17,30,32,20,49
2013-02-28,41,35,24,14,12,13,28,14,27,44,35,44,42,34,47,21,22,37,23,31,24,38,17,35,52,22,17,50,30,28,30,28,39,13,40,36,15,48,22,17,7,20,34,15,52,40,13,32,20,29,35,44,42,34,47,21,22,37,23,31,24,38,17,35,52,22,37,23,31,24,38,17,35,52,22,17,50,30,28,30,28,39,13,40,36,15,48
2013-03-01,57,42,31,9,11,15,43,9,46,56,58,49,66,47,59,12,29,60,41,31,30,64,27,55,68,36,11,77,47,37,42,30,47,15,42,50,22,50,38,22,21,23,39,21,64,40,11,36,20,50,58,49,66,47,59,12,29,60,41,31,30,64,27,55,68,29,60,41,31,30,64,27,55,68,36,11,77,47,37,42,30,47,15,42,50,22,50
2013-03-02,56,49,32,25,16,23,49,25,37,49,51,52,57,42,62,16,28,72,27,36,26,55,23,60,56,24,15,73,62,40,51,39,65,23,54,64,20,56,39,17,20,25,24,16,57,59,15,38,24,52,51,52,57,42,62,16,28,72,27,36,26,55,23,60,56,28,72,27,36,26,55,23,60,56,24,15,73,62,40,51,39,65,23,54,64,20,56
2013-03-03,64,49,27,19,11,27,41,19,45,60,74,65,79,41,75,20,38,48,33,42,23,53,15,59,69,34,18,77,59,26,47,33,60,27,55,63,16,63,39,25,16,27,41,20,66,36,21,41,18,48,74,65,79,41,75,20,38,48,33,42,23,53,15,59,69,38,48,33,42,23,53,15,59,69,34,18,77,59,26,47,33,60,27,55,63,16,63
2013-03-04,41,33,19,10,6,10,33,10,23,38,40,28,56,21,43,16,14,52,20,32,27,43,19,42,45,34,14,32,43,21,27,18,43,10,30,43,18,45,26,12,13,22,24,19,49,30,14,21,21,34,40,28,56,21,43,16,14,52,20,32,27,43,19,42,45,14,52,20,32,27,43,19,42,45,34,14,32,43,21,27,18,43,10,30,43,18,45
2013-03-05,54,42,18,20,10,16,33,20,38,52,46,32,51,40,42,14,20,46,27,28,30,51,16,46,53,36,12,44,35,31,31,22,41,16,44,44,20,41,33,16,16,18,32,19,52,48,16,31,27,37,46,32,51,40,42,14,20,46,27,28,30,51,16,46,53,20,46,27,28,30,51,16,46,53,36,12,44,35,31,31,22,41,16,44,44,20,41
2013-03-06,50,43,19,13,9,18,48,13,35,50,35,47,65,34,52,22,34,37,27,31,23,54,21,40,48,34,16,57,47,33,45,28,44,18,41,48,23,46,20,23,14,32,43,20,51,34,12,34,21,42,35,47,65,34,52,22,34,37,27,31,23,54,21,40,48,34,37,27,31,23,54,21,40,48,34,16,57,47,33,45,28,44,18,41,48,23,46
2013-03-07,54,48,22,14,15,20,40,14,49,49,45,47,61,45,56,18,21,67,28,48,28,46,22,54,59,32,13,52,48,19,46,34,58,20,31,48,22,54,32,25,13,23,34,22,50,34,15,42,25,43,45,47,61,45,56,18,21,67,28,48,28,46,22,54,59,21,67,28,48,28,46,22,54,59,32,13,52,48,19,46,34,58,20,31,48,22,54
2013-03-08,59,43,22,18,9,22,42,18,44,60,48,41,59,34,69,15,25,60,23,33,28,54,17,49,63,36,24,54,56,26,39,31,64,22,51,50,23,68,33,21,27,20,36,17,57,39,14,59,29,49,48,41,59,34,69,15,25,60,23,33,28,54,17,49,63,25,60,23,33,28,54,17,49,63,36,24,54,56,26,39,31,64,22,51,50,23,68
2013-03-09,51,43,35,20,7,19,51,20,53,70,52,66,71,44,63,16,26,66,32,28,27,68,21,51,57,33,23,73,50,28,39,26,52,19,49,58,22,60,24,20,18,24,38,14,56,52,15,37,24,50,52,66,71,44,63,16,26,66,32,28,27,68,21,51,57,26,66,32,28,27,68,21,51,57,33,23,73,50,28,39,26,52,19,49,58,22,60
2013-03-10,67,43,33,14,18,27,41,14,35,70,58,57,74,37,58,20,24,70,30,59,24,79,21,61,78,27,21,94,50,25,51,30,56,27,47,48,31,58,47,24,19,47,39,23,66,47,16,47,24,56,58,57,74,37,58,20,24,70,30,59,24,79,21,61,78,24,70,30,59,24,79,21,61,78,27,21,94,50,25,51,30,56,27,47,48,31,58
